anchor_question,target_question,condition_type,condition_value,support_count,support_pct,target_best_30_window,target_best_30_coverage_pct,target_best_40_window,target_best_40_coverage_pct,target_best_50_window,target_best_50_coverage_pct,base_best_30_window,base_best_30_coverage_pct,base_best_40_window,base_best_40_coverage_pct,base_best_50_window,base_best_50_coverage_pct,gain_30_pct,gain_40_pct,gain_50_pct,target_median_pct
39,37,half,后半区,22,37.29,40-70%,50.0,40-80%,72.73,40-90%,77.27,0-30%,40.68,10-50%,57.63,0-50%,62.71,9.32,15.1,14.56,50.0
39,42,band20,0-20%,8,13.56,0-30%,50.0,0-40%,62.5,0-50%,75.0,0-30%,35.59,0-40%,47.46,0-50%,59.32,14.41,15.04,15.68,33.7
40,41,half,前半区,34,57.63,70-100%,50.0,60-100%,58.82,40-90%,70.59,20-50%,37.29,20-60%,44.07,40-90%,61.02,12.71,14.75,9.57,71.59
39,36,band20,0-20%,8,13.56,10-40%,75.0,20-60%,87.5,10-60%,87.5,20-50%,62.71,10-50%,72.88,10-60%,81.36,12.29,14.62,6.14,33.26
45,37,band20,60-80%,18,30.51,0-30%,55.56,10-50%,72.22,10-60%,77.78,0-30%,40.68,10-50%,57.63,0-50%,62.71,14.88,14.59,15.07,24.48
40,43,band20,0-20%,11,18.64,70-100%,45.45,50-90%,63.64,50-100%,81.82,50-80%,37.29,40-80%,49.15,50-100%,59.32,8.16,14.49,22.5,60.71
36,45,band20,40-60%,19,32.2,60-90%,68.42,50-90%,73.68,40-90%,78.95,60-90%,50.85,50-90%,59.32,40-90%,71.19,17.57,14.36,7.76,68.18
42,41,half,后半区,24,40.68,20-50%,50.0,10-50%,58.33,0-50%,75.0,20-50%,37.29,20-60%,44.07,40-90%,61.02,12.71,14.26,13.98,37.64
42,41,band20,60-80%,12,20.34,0-30%,50.0,0-40%,58.33,0-50%,75.0,20-50%,37.29,20-60%,44.07,40-90%,61.02,12.71,14.26,13.98,32.19
43,41,band20,0-20%,12,20.34,20-50%,50.0,20-60%,58.33,10-60%,58.33,20-50%,37.29,20-60%,44.07,40-90%,61.02,12.71,14.26,-2.69,51.78
45,41,band20,40-60%,12,20.34,20-50%,50.0,10-50%,58.33,20-70%,66.67,20-50%,37.29,20-60%,44.07,40-90%,61.02,12.71,14.26,5.65,50.0
38,37,half,前半区,32,54.24,40-70%,46.88,40-80%,71.88,40-90%,78.12,0-30%,40.68,10-50%,57.63,0-50%,62.71,6.2,14.25,15.41,51.56
45,44,band20,40-60%,12,20.34,70-100%,66.67,60-100%,66.67,50-100%,66.67,10-40%,42.37,0-40%,52.54,0-50%,61.02,24.3,14.13,5.65,80.09
42,44,band20,0-20%,15,25.42,10-40%,60.0,10-50%,66.67,10-60%,73.33,10-40%,42.37,0-40%,52.54,0-50%,61.02,17.63,14.13,12.31,37.5
